Shadowshot.g.en-US.resources:settingsview.baml,EntireScreenToClipboardHotkeyTextBox:System.Windows.Controls.Control.VerticalContentAlignment,None,False,True,,Center
Shadowshot.g.en-US.resources:settingsview.baml,TextBlock_4:System.Windows.Controls.TextBlock.$Content,Text,True,True,,截取活动窗口并保存到剪贴板：
Shadowshot.g.en-US.resources:settingsview.baml,TextBlock_4:System.Windows.FrameworkElement.Margin,None,False,True,,"0,0,0,5"
Shadowshot.g.en-US.resources:settingsview.baml,ActiveWindowToClipboardHotkeyTextBox:System.Windows.Controls.TextBox.$Content,Text,True,True,,
Shadowshot.g.en-US.resources:settingsview.baml,ActiveWindowToClipboardHotkeyTextBox:System.Windows.FrameworkElement.Height,None,False,True,,23
Shadowshot.g.en-US.resources:settingsview.baml,ActiveWindowToClipboardHotkeyTextBox:System.Windows.Controls.Control.VerticalContentAlignment,None,False,True,,Center
Shadowshot.g.en-US.resources:notifyiconview.baml,tb:TaskbarIcon_1:Hardcodet.Wpf.TaskbarNotification.TaskbarIcon.$Content,None,True,True,,
Shadowshot.g.en-US.resources:notifyiconview.baml,tb:TaskbarIcon_1:Hardcodet.Wpf.TaskbarNotification.TaskbarIcon.IconSource,None,True,True,,../Icon.ico
Shadowshot.g.en-US.resources:notifyiconview.baml,tb:TaskbarIcon_1:Hardcodet.Wpf.TaskbarNotification.TaskbarIcon.ToolTipText,None,True,True,,Shadowshot
Shadowshot.g.en-US.resources:notifyiconview.baml,ContextMenu_1:System.Windows.Controls.ContextMenu.$Content,Menu,True,True,,#MenuItem_1;#Separator_1;#MenuItem_2;
Shadowshot.g.en-US.resources:notifyiconview.baml,MenuItem_1:System.Windows.Controls.MenuItem.$Content,Menu,True,True,,
Shadowshot.g.en-US.resources:notifyiconview.baml,MenuItem_1:System.Windows.Controls.HeaderedItemsControl.Header,Menu,True,True,,设置
Shadowshot.g.en-US.resources:notifyiconview.baml,Separator_1:System.Windows.Controls.Separator.$Content,None,False,True,,
Shadowshot.g.en-US.resources:notifyiconview.baml,MenuItem_2:System.Windows.Controls.MenuItem.$Content,Menu,True,True,,
Shadowshot.g.en-US.resources:notifyiconview.baml,MenuItem_2:System.Windows.Controls.HeaderedItemsControl.Header,Menu,True,True,,退出
Shadowshot.g.en-US.resources:app.baml,Application_1:Shadowshot.App.$Content,None,True,True,,
Shadowshot.g.en-US.resources:app.baml,Application_1:System.Windows.Application.ShutdownMode,None,True,False,,OnExplicitShutdown
Shadowshot.g.en-US.resources:app.baml,ResourceDictionary_1:System.Windows.ResourceDictionary.Source,None,True,False,,Views/NotifyIconView.xaml
